Date,Establishment,Drink,Short Address,Image,Image 2,Map Address
6/28/2017,TeaOne,Jade pearl milk tea,SF,https://farm5.staticflickr.com/4733/38505049094_0792b162da_b.jpg,,
7/2/2017,i-Tea,Brown rice milk tea,SF (Sunset),https://farm5.staticflickr.com/4646/38336349355_47aa904c25_b.jpg,https://farm5.staticflickr.com/4639/38336345455_aa57ef8194_b.jpg,
7/3/2017,Wonderful Foods Co.,Green bean tapioca,SF,https://farm5.staticflickr.com/4643/38505048954_41eddbf209_b.jpg,,
7/4/2017,i-Tea,Matcha milk tea,"San Jose, CA",https://farm5.staticflickr.com/4683/38505045264_2e545b1789_b.jpg,https://farm5.staticflickr.com/4639/38336349215_14d8c01102_b.jpg,
7/8/2017,Cha Express,Handmade black rice milk tea,"San Mateo, CA",,,
7/10/2017,i-Tea,Oriental Beauty,SF (Sunset),https://farm5.staticflickr.com/4595/38336349115_2b2f944568_b.jpg,https://farm5.staticflickr.com/4645/38505048784_278b4122c4_b.jpg,
7/11/2017,Sweethut,Red bean tapioca,SF,https://farm5.staticflickr.com/4596/38336345395_d39ee5fc83_b.jpg,,
7/13/2017,Little Sweet,Tin guan yin milk tea,SF,https://farm5.staticflickr.com/4734/38336348975_39c6d5337b_b.jpg,https://farm5.staticflickr.com/4593/38336348845_38ab419a6c_z.jpg,
7/14/2017,Gosu,Something Just Like This ,SF,https://farm5.staticflickr.com/4680/38505048224_afabb864ea_z.jpg,https://farm5.staticflickr.com/4642/38505045254_f445613a12_z.jpg,
7/16/2017,Tea Era,Iron Buddha milk tea,"Mountain View, CA",https://farm5.staticflickr.com/4727/38505048124_b8b94dd6f2_z.jpg,https://farm5.staticflickr.com/4727/38336348735_9a83218ffc_z.jpg,
7/18/2017,Plentea,Matcha latte,SF,https://farm5.staticflickr.com/4734/38336345195_8d2509d120_b.jpg,,
7/20/2017,Asha Tea House,Matcha latte,SF,https://farm5.staticflickr.com/4735/38336348635_b4f6378915_z.jpg,,
7/24/2017,Little Sweet,Roast milk tea,SF,https://farm5.staticflickr.com/4727/38505047814_8f4889a723_z.jpg,https://farm5.staticflickr.com/4600/38336348455_0f5c85df3a_z.jpg,
7/29/2017,U Cha,Okinawa milk tea ,"Berkeley, CA",https://farm5.staticflickr.com/4688/38505045154_004d5a325d_z.jpg,,
8/4/2017,Twinkle Brown Sugar,Brown sugar milk tea,"Los Angeles, CA",https://farm5.staticflickr.com/4593/38505047704_0ee03b1a97_b.jpg,,
8/4/2017,Snow Monster,Jasmine milk tea,"Los Angeles, CA (Koreatown)",https://farm5.staticflickr.com/4638/38336348275_f02bb482cd_b.jpg,,
8/6/2017,7Leaves,Mung bean milk tea,"Westminster, CA",https://farm5.staticflickr.com/4633/38336344965_29c34ee31b_b.jpg,,
8/7/2017,Milkbox,Earl Grey lavender ,"Irvine, CA",https://farm5.staticflickr.com/4596/38505047624_673b4b232b_b.jpg,,
8/10/2017,Asha Tea House,Iced matcha latte ,SF,https://farm5.staticflickr.com/4646/38505045094_1998f126f2_z.jpg,https://farm5.staticflickr.com/4683/38505047524_39aac506a0_z.jpg,
8/13/2017,Little Sweet,Roast milk tea,SF,https://farm5.staticflickr.com/4638/38505047354_344440c92b_b.jpg,,
